Ftrue-LW,Fsamp-LW,Ftrue-SW,Fsamp-SW,Etrue-LW,Esamp-LW,Etrue-SW,Esamp-SW
4.136,  -0.00516,   0.510,   0.00228, 0.0742,   0.00154,  -0.1410,  -0.00347  
-1.325,   0.00061,  -0.214,  -0.00008,  -0.0523,   0.00016,   0.0705,   0.00130
-2.937,   0.00033,  -0.512,   0.00014, -0.1403,   0.00446,   0.1837,   0.00417
-6.889,  -0.00733,  -1.449,  -0.00177, -0.2627,   0.01326,   0.6073,   0.01933
1.416,  -0.00119,   0.200,   0.00049, 0.0410,  -0.00028,  -0.0585,  -0.00044
 0.641,  -0.00456,   0.278,   0.00711, -0.1826,   0.00308,  -0.0903,  -0.00206
0.203,  -0.00097,   0.012,  -0.00001, 0.0397,  -0.00030,  -0.0123,   0.00001
0.471,   0.00043,   0.000,   0.00000, -0.1157,   0.00006,   0.0000,   0.00000
0.099,  -0.01072,   0.087,  -0.00625, -0.0276,  -0.00480,  -0.0001,  -0.00075
16.069,   0.00871,  -0.002,   0.00220, 0.1123,  -0.00013,  -0.0347,  -0.00007
-3.499,   0.00746,  -2.917,   0.00460, 0.0603,  -0.00666,   0.2953,   0.00421
2.113,   0.02116,   1.509,   0.00405, -0.2472,  -0.00308,  -0.2297,  -0.00558 
1.546,  -0.00804,  -4.878,  -0.00103, 0.1084,   0.00429,   0.6091,  -0.00142
2.854,  -0.01729,   0.578,   0.00133, -0.1823,  -0.00279,  -0.1616,  -0.00323 
-2.683,  -0.01619,  -0.376,   0.00108, -0.4784,   0.00633,   0.1806,   0.00446
-0.914,   0.00093,  -0.257,  -0.00227,  -0.1204,  -0.00481,   0.0576,   0.00090
-4.157,   0.00927,  -1.298,  -0.00510, -0.0670,   0.00721,   0.3318,   0.00853

